/home/shinhwan/.local/lib/python2.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:70: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:68: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
Model #Params: 5110K
...Finish Making Plot Folder...
EPOCH: 1 | TIME: 2020-03-08 22:34:13.822932 
[0][3280] KL: 847.7, Word: 89.45, Topo: 98.39, Assm: 90.49, Steo: 100.00
[0][3300] KL: 870.1, Word: 89.08, Topo: 98.40, Assm: 90.41, Steo: 100.00
[0][3320] KL: 918.4, Word: 89.16, Topo: 98.34, Assm: 90.83, Steo: 100.00
[0][3340] KL: 890.2, Word: 90.01, Topo: 98.33, Assm: 91.18, Steo: 100.00
[0][3360] KL: 847.1, Word: 89.58, Topo: 98.42, Assm: 91.09, Steo: 100.00
[0][3380] KL: 843.1, Word: 90.10, Topo: 98.31, Assm: 91.53, Steo: 100.00
[0][3400] KL: 913.1, Word: 89.63, Topo: 98.52, Assm: 90.68, Steo: 100.00
[0][3420] KL: 887.9, Word: 89.18, Topo: 98.30, Assm: 90.86, Steo: 100.00
[0][3440] KL: 897.6, Word: 90.26, Topo: 98.46, Assm: 90.05, Steo: 100.00
[0][3460] KL: 834.8, Word: 89.22, Topo: 98.57, Assm: 91.25, Steo: 100.00
[0][3480] KL: 893.6, Word: 90.33, Topo: 98.44, Assm: 90.91, Steo: 100.00
[0][3500] KL: 867.3, Word: 89.39, Topo: 98.31, Assm: 91.07, Steo: 100.00
[0][3520] KL: 892.0, Word: 89.80, Topo: 98.63, Assm: 91.32, Steo: 100.00
[0][3540] KL: 869.3, Word: 89.53, Topo: 98.29, Assm: 91.46, Steo: 100.00
[0][3560] KL: 878.9, Word: 89.59, Topo: 98.14, Assm: 91.39, Steo: 100.00
[0][3580] KL: 878.0, Word: 90.17, Topo: 98.41, Assm: 91.27, Steo: 100.00
[0][3600] KL: 884.3, Word: 90.20, Topo: 98.49, Assm: 91.93, Steo: 100.00
[0][3620] KL: 831.6, Word: 90.24, Topo: 98.56, Assm: 92.89, Steo: 100.00
[0][3640] KL: 898.1, Word: 90.53, Topo: 98.53, Assm: 91.91, Steo: 100.00
[0][3660] KL: 868.4, Word: 91.09, Topo: 98.52, Assm: 91.79, Steo: 100.00
[0][3680] KL: 954.0, Word: 90.67, Topo: 98.57, Assm: 92.24, Steo: 100.00
[0][3700] KL: 898.8, Word: 90.01, Topo: 98.50, Assm: 92.73, Steo: 100.00
[0][3720] KL: 940.4, Word: 90.67, Topo: 98.62, Assm: 92.69, Steo: 100.00
[0][3740] KL: 911.8, Word: 90.46, Topo: 98.42, Assm: 92.13, Steo: 100.00
[0][3760] KL: 937.1, Word: 90.22, Topo: 98.46, Assm: 92.49, Steo: 100.00
[0][3780] KL: 922.1, Word: 90.26, Topo: 98.66, Assm: 93.17, Steo: 100.00
[0][3800] KL: 938.1, Word: 90.53, Topo: 98.43, Assm: 92.11, Steo: 100.00
[0][3820] KL: 911.7, Word: 90.87, Topo: 98.52, Assm: 91.45, Steo: 100.00
[0][3840] KL: 946.1, Word: 90.58, Topo: 98.57, Assm: 92.55, Steo: 100.00
[0][3860] KL: 899.7, Word: 90.08, Topo: 98.58, Assm: 91.90, Steo: 100.00
